time,valve_position,cement_weight,sand_available,water_level,sand_moisture
0.0,0,387,False,200.0,3.0
0.05,0,387,False,200.0,3.0
0.1,0,387,False,200.0,3.0
0.15,0,387,False,200.0,3.0
0.2,0,387,False,200.0,3.0
0.25,0,387,False,199.99,3.0
0.3,0,387,False,199.99,3.0
0.35,0,387,False,199.99,3.0
0.4,0,387,False,199.99,3.0
0.45,0,387,False,199.99,3.0
0.5,0,387,False,199.99,3.0
0.55,0,387,False,199.99,3.0
0.6,0,387,False,199.99,3.0
0.65,0,387,False,199.98,3.0
0.7,0,387,False,199.98,3.0
0.75,0,387,False,199.98,3.0
0.8,0,387,False,199.98,3.0
0.85,0,387,False,199.98,3.0
0.9,0,387,False,199.98,3.0
0.95,0,387,False,199.98,3.0
1.0,0,387,False,199.97,3.0
1.05,0,387,False,199.97,3.0
1.1,0,387,False,199.97,3.0
1.15,0,387,False,199.97,3.0
1.2,0,387,False,199.97,3.0
1.25,0,387,False,199.97,3.0
1.3,0,387,False,199.97,3.0
1.35,0,387,False,199.97,3.0
1.4,0,387,False,199.97,3.0
1.45,0,387,False,199.96,3.0
1.5,0,387,False,199.96,3.0
1.55,0,387,False,199.96,3.0
1.6,0,387,False,199.96,3.0
1.65,0,387,False,199.96,3.0
1.7,0,387,False,199.96,3.0
1.75,0,387,False,199.96,3.0
1.8,0,387,False,199.96,3.0
1.85,0,387,False,199.95,3.0
1.9,0,387,False,199.95,3.0
1.95,0,387,False,199.95,3.0
2.0,0.0,387,True,199.95,3.0
2.05,1.25,387,True,199.95,3.0
2.1,2.5,387,True,199.95,3.0
2.15,3.75,387,True,199.95,3.0
2.2,5.0,387,True,199.94,3.0
2.25,6.25,387,True,199.94,3.0
2.3,7.5,387,True,199.94,3.0
2.35,8.75,387,True,199.94,3.0
2.4,10.0,387,True,199.94,3.0
2.45,11.25,387,True,199.94,3.0
2.5,12.5,387,True,199.94,3.0
2.55,13.75,387,True,199.94,3.0
2.6,15.0,387,True,199.94,3.0
2.65,16.25,387,True,199.93,3.0
2.7,17.5,387,True,199.93,3.0
2.75,18.75,387,True,199.93,3.0
2.8,20.0,387,True,199.93,3.0
2.85,21.25,387,True,199.93,3.0
2.9,22.5,387,True,199.93,3.0
2.95,23.75,387,True,199.93,3.0
3.0,25.0,387,True,199.93,3.0
3.05,26.25,387,True,199.92,3.0
3.1,27.5,387,True,199.92,3.0
3.15,28.75,387,True,199.92,3.0
3.2,30.0,387,True,199.92,3.0
3.25,31.25,387,True,199.92,3.0
3.3,32.5,387,True,199.92,3.0
3.35,33.75,387,True,199.92,3.0
3.4,35.0,387,True,199.91,3.0
3.45,36.25,387,True,199.91,3.0
3.5,37.5,387,True,199.91,3.0
3.55,38.75,387,True,199.91,3.0
3.6,40.0,387,True,199.91,3.0
3.65,41.25,387,True,199.91,3.0
3.7,42.5,387,True,199.91,3.0
3.75,43.75,387,True,199.91,3.0
3.8,45.0,387,True,199.91,3.0
3.85,46.25,387,True,199.9,3.0
3.9,47.5,387,True,199.9,3.0
3.95,48.75,387,True,199.9,3.0
4.0,50.0,387,True,199.9,3.0
4.05,51.25,387,True,199.9,3.0
4.1,52.5,387,True,199.9,3.0
4.15,53.75,387,True,199.9,3.0
4.2,55.0,387,True,199.9,3.0
4.25,56.25,387,True,199.89,3.0
4.3,57.5,387,True,199.89,3.01
4.35,58.75,387,True,199.89,3.01
4.4,60.0,387,True,199.89,3.01
4.45,61.25,387,True,199.89,3.01
4.5,62.5,387,True,199.89,3.01
4.55,63.75,387,True,199.89,3.01
4.6,65.0,387,True,199.88,3.01
4.65,66.25,387,True,199.88,3.01
4.7,67.5,387,True,199.88,3.01
4.75,68.75,387,True,199.88,3.01
4.8,70.0,387,True,199.88,3.01
4.85,71.25,387,True,199.88,3.01
4.9,72.5,387,True,199.88,3.01
4.95,73.75,387,True,199.88,3.01
5.0,75.0,387,True,199.88,3.01
5.05,76.25,387,True,199.87,3.01
5.1,77.5,387,True,199.87,3.01
5.15,78.75,387,True,199.87,3.01
5.2,80.0,387,True,199.87,3.01
5.25,81.25,387,True,199.87,3.01
5.3,82.5,387,True,199.87,3.01
5.35,83.75,387,True,199.87,3.01
5.4,85.0,387,True,199.87,3.01
5.45,86.25,387,True,199.86,3.01
5.5,87.5,387,True,199.86,3.01
5.55,88.75,387,True,199.86,3.01
5.6,90.0,387,True,199.86,3.01
5.65,91.25,387,True,199.86,3.01
5.7,92.5,387,True,199.86,3.01
5.75,93.75,387,True,199.86,3.01
5.8,95.0,387,True,199.85,3.01
5.85,96.25,387,True,199.85,3.01
5.9,97.5,387,True,199.85,3.01
5.95,98.75,387,True,199.85,3.01
6.0,0,372,False,199.85,3.01
6.05,0,372,False,199.85,3.01
6.1,0,372,False,199.85,3.01
6.15,0,372,False,199.85,3.01
6.2,0,372,False,199.84,3.01
6.25,0,372,False,199.84,3.01
6.3,0,372,False,199.84,3.01
6.35,0,372,False,199.84,3.01
6.4,0,372,False,199.84,3.01
6.45,0,372,False,199.84,3.01
6.5,0,372,False,199.84,3.01
6.55,0,372,False,199.84,3.01
6.6,0,372,False,199.84,3.01
6.65,0,372,False,199.83,3.01
6.7,0,372,False,199.83,3.01
6.75,0,372,False,199.83,3.01
6.8,0,372,False,199.83,3.01
6.85,0,372,False,199.83,3.01
6.9,0,372,False,199.83,3.01
6.95,0,372,False,199.83,3.01
7.0,0,372,False,199.82,3.01
