time,speed,weight,status,him_level,moisture
0.0,0,974,False,10.0,10.0
0.05,0,974,False,10.0,10.0
0.1,0,974,False,10.0,10.0
0.15,0,974,False,10.0,10.0
0.2,0,974,False,10.0,10.0
0.25,0,974,False,10.0,10.0
0.3,0,974,False,10.0,10.0
0.35,0,974,False,10.0,10.0
0.4,0,974,False,10.0,10.0
0.45,0,974,False,10.0,10.01
0.5,0,974,False,10.0,10.01
0.55,0,974,False,10.0,10.01
0.6,0,974,False,10.0,10.01
0.65,0,974,False,10.0,10.01
0.7,0,974,False,10.0,10.01
0.75,0,974,False,10.0,10.01
0.8,0,974,False,10.0,10.01
0.85,0,974,False,10.0,10.01
0.9,0,974,False,10.0,10.01
0.95,0,974,False,10.0,10.01
1.0,0,974,False,10.0,10.01
1.05,0,974,False,10.0,10.01
1.1,0,974,False,10.0,10.01
1.15,0,974,False,10.0,10.01
1.2,0,974,False,10.0,10.01
1.25,0,974,False,10.0,10.01
1.3,0,974,False,10.0,10.02
1.35,0,974,False,10.0,10.02
1.4,0,974,False,10.0,10.02
1.45,0,974,False,10.0,10.02
1.5,0,974,False,10.0,10.02
1.55,0,974,False,10.0,10.02
1.6,0,974,False,10.0,10.02
1.65,0,974,False,10.0,10.02
1.7,0,974,False,10.0,10.02
1.75,0,974,False,10.0,10.02
1.8,0,974,False,10.0,10.02
1.85,0,974,False,10.0,10.02
1.9,0,974,False,10.0,10.02
1.95,0,974,False,10.0,10.02
2.0,0,974,True,10.0,10.02
2.05,9,974,True,10.0,10.02
2.1,18,974,True,10.0,10.02
2.15,27,974,True,10.0,10.03
2.2,36,974,True,10.0,10.03
2.25,45,974,True,10.0,10.03
2.3,54,974,True,10.0,10.03
2.35,63,974,True,10.0,10.03
2.4,72,974,True,10.0,10.03
2.45,81,974,True,10.0,10.03
2.5,90,974,True,10.0,10.03
2.55,99,974,True,10.0,10.03
2.6,108,974,True,10.0,10.03
2.65,117,974,True,10.0,10.03
2.7,126,974,True,10.0,10.03
2.75,135,974,True,10.0,10.03
2.8,144,974,True,10.0,10.03
2.85,153,974,True,10.0,10.03
2.9,162,974,True,10.0,10.03
2.95,171,974,True,10.0,10.03
3.0,180,974,True,10.0,10.04
3.05,189,974,True,10.0,10.04
3.1,198,974,True,10.0,10.04
3.15,207,974,True,10.0,10.04
3.2,216,974,True,10.0,10.04
3.25,225,974,True,10.0,10.04
3.3,234,974,True,10.0,10.04
3.35,243,974,True,10.0,10.04
3.4,252,974,True,10.0,10.04
3.45,261,974,True,10.0,10.04
3.5,270,974,True,10.0,10.04
3.55,279,974,True,10.0,10.04
3.6,288,974,True,10.0,10.04
3.65,297,974,True,10.0,10.04
3.7,306,974,True,10.0,10.04
3.75,315,974,True,10.0,10.04
3.8,324,974,True,10.0,10.04
3.85,333,974,True,10.0,10.04
3.9,342,974,True,10.0,10.05
3.95,351,974,True,10.0,10.05
4.0,360,974,True,10.0,10.05
4.05,369,974,True,10.0,10.05
4.1,378,974,True,10.0,10.05
4.15,387,974,True,10.0,10.05
4.2,396,974,True,10.0,10.05
4.25,405,974,True,10.0,10.05
4.3,414,974,True,10.0,10.05
4.35,423,974,True,10.0,10.05
4.4,432,974,True,10.0,10.05
4.45,441,974,True,10.0,10.05
4.5,450,974,True,10.0,10.05
4.55,459,974,True,10.0,10.05
4.6,468,974,True,10.0,10.05
4.65,477,974,True,10.0,10.05
4.7,486,974,True,10.0,10.05
4.75,495,974,True,10.0,10.06
4.8,504,974,True,10.0,10.06
4.85,513,974,True,10.0,10.06
4.9,522,974,True,10.0,10.06
4.95,531,974,True,10.0,10.06
5.0,540,974,True,10.0,10.06
5.05,549,974,True,10.0,10.06
5.1,558,974,True,10.0,10.06
5.15,567,974,True,10.0,10.06
5.2,576,974,True,10.0,10.06
